segment,jishu
said,13256
house,2495
tree,2391
back,1682
magic,1649
book,1559
go,1361
time,1067
read,1037
just,1035
teddy,1005
about,993
through,980
good,928
don,911
more,902
oh,874
re,847
let,832
see,801
come,798
know,789
get,779
around,738
if,731
again,697
still,667
find,664
help,652
other,652
man,643
called,640
great,636
look,633
right,630
long,582
put,568
whispered,568
before,563
think,560
new,548
away,515
head,514
home,489
water,481
wind,479
light,474
way,474
people,473
going,464
toward,462
dark,461
door,457
thought,454
really,452
pointed,446
saw,442
day,441
night,430
love,426
take,426
sea,421
okay,412
world,411
white,407
yeah,400
king,400
window,391
make,391
found,390
small,390
felt,388
air,387
after,383
even,379
ladder,375
frog,374
creek,373
big,371
wait,367
want,357
many,353
room,353
thanks,351
another,350
under,345
say,340
across,336
place,325
something,324
maybe,320
faster,319
fiction,318
behind,316
never,312
wow,312
rope,310
deep,309
picture,309
thank,308
ancient,308
series,308
library,307
pope,306
sky,296
old,296
voice,296
random,295
tell,292
morning,291
boy,290
ground,289
ice,288
black,286
soon,285
giant,283
backpack,282
until,280
horse,278
hand,275
moon,273
last,271
research,270
everything,269
looking,268
mission,267
hope,267
red,266
notebook,265
breath,261
wish,260
blue,259
work,259
left,258
front,257
special,257
snow,256
story,254
stop,252
brother,251
life,251
street,249
rain,239
high,236
face,235
floor,234
remember,234
copyright,233
keep,232
together,231
class,228
ghost,227
sure,227
bag,226
stone,225
real,220
hey,220
summer,218
huge,217
side,215
hear,215
anything,215
cover,215
war,214
top,213
hurried,213
tried,212
writing,211
sound,211
cool,210
pack,207
reading,207
river,207
feel,206
leave,205
open,205
use,204
year,204
ready,203
bye,201
most,200
mom,200
guess,199
visit,194
young,190
today,190
thing,190
girl,190
coming,189
closed,187
absolutely,187
finally,185
forest,184
cold,184
castle,184
tall,183
better,183
sun,182
give,182
because,180
hurry,179
woman,179
mean,179
wizard,178
title,178
dog,177
ever,177
secret,177
everyone,176
quickly,174
hard,174
best,172
fell,171
rhyme,171
along,171
write,170
walking,170
heart,168
winter,167
against,166
dragon,166
moment,166
please,166
above,166
wonder,165
covered,165
wanted,165
slowly,164
knight,164
between,164
late,164
fun,162
page,161
ago,160
save,159
master,158
aloud,157
try,157
such,157
far,157
fire,157
believe,156
standing,156
same,155
suddenly,155
spin,155
once,155
while,155
afraid,154
meet,154
spell,153
city,152
music,152
dawn,152
grass,151
bright,151
bring,150
ship,149
wand,148
queen,148
large,148
worry,147
gray,147
waiting,146
wooden,144
blow,143
polar,142
himself,142
bird,142
own,142
author,141
running,141
name,140
boat,140
ask,139
ocean,138
green,138
happy,137
lost,135
others,135
play,135
someone,134
softly,133
hall,133
close,132
live,132
hi,131
beautiful,131
paper,130
penguin,130
stay,130
rose,130
smile,130
friend,129
sunlight,129
clothes,128
check,128
tiny,127
gold,127
eve,127
town,127
wall,126
bridge,126
show,126
flute,126
answer,125
early,124
afternoon,124
sorry,124
lots,124
follow,124
miss,124
guard,124
warm,123
trying,123
forward,122
peanut,121
serpent,121
terrible,121
corner,118
wild,118
crowd,118
person,118
palace,117
hill,117
sword,117
lady,117
end,117
wearing,116
distance,116
rock,116
imagination,116
web,116
pocket,115
bear,115
dad,115
hour,115
almost,114
sitting,114
cave,114
information,114
sir,114
closer,113
titanic,113
buffalo,112
different,112
sign,112
wide,111
carefully,111
oak,110
forget,110
kind,110
enough,109
eye,108
father,108
moonlight,108
mind,107
beyond,107
table,107
wet,106
already,106
sister,106
sand,106
slim,105
baby,105
quiet,104
strange,104
musical,104
hair,104
travel,103
without,103
call,103
silver,103
bed,103
family,103
named,102
arm,102
uh,102
few,102
space,101
dear,101
civil,101
course,101
beside,100
run,100
soft,100
edge,100
wonderful,100
age,100
captain,100
land,98
ride,98
note,98
body,98
magician,98
learn,98
seal,98
twilight,97
map,97
word,97
mother,97
creature,96
flashlight,96
mountain,96
crazy,96
pull,96
tad,95
school,95
indeed,95
move,95
order,94
road,94
stairs,94
cloak,94
history,94
listen,93
below,93
safe,93
pencil,93
wrong,93
laughing,93
turn,92
published,92
hot,92
earth,92
fallen,92
scroll,92
walk,92
else,92
actually,91
path,91
talking,91
free,91
breeze,91
cap,91
yep,89
holding,89
neck,89
fast,89
alone,89
hold,88
emperor,87
sorcerer,87
leather,87
heavy,87
letter,87
shoulder,86
idea,86
moving,86
tower,86
given,86
mouth,86
bread,85
involved,85
hide,85
rest,85
site,85
president,85
mouse,85
watch,85
building,85
brown,85
grade,85
stand,85
stage,85
earthquake,84
later,84
sunset,84
imperial,84
preview,84
low,83
yellow,83
genius,83
smiling,83
nearly,83
unicorn,82
gift,82
square,82
nothing,81
guide,81
learned,81
raven,81
octopus,81
playing,81
excuse,81
piece,80
volcano,80
gate,80
climb,80
mogul,80
tonight,80
garden,79
eat,79
hello,79
golden,79
share,79
whole,78
cloud,78
monster,78
bad,78
lot,78
known,77
happiness,77
elephant,77
nose,77
food,77
mysterious,76
thick,76
fish,76
seem,75
porch,75
start,75
set,75
animal,75
chance,75
including,74
landed,74
noon,74
ring,74
wood,74
exactly,74
dead,74
talk,74
field,73
living,73
mist,73
fear,72
raised,72
revolutionary,72
vacation,72
broke,72
part,72
panda,72
though,71
learning,71
carnival,71
sad,71
line,71
bottle,71
song,71
prince,71
wave,71
yard,71
famous,71
send,70
short,70
sometimes,70
care,70
driver,70
natural,70
dream,69
bell,69
loved,69
mad,69
catch,69
haunted,69
lying,69
silent,69
luck,69
nice,68
making,68
welcome,68
hawk,68
hat,68
dust,68
journey,67
ah,67
calm,67
midnight,67
squeak,67
scrambled,67
gorilla,67
falling,67
branch,67
figure,67
magical,66
dry,66
tale,66
treasure,66
bit,66
division,66
inspired,66
written,66
son,66
anyone,65
perhaps,65
lion,65
cliff,65
park,65
sit,65
registered,65
return,65
riding,65
change,65
lay,65
shore,64
box,64
shining,64
emerald,64
breakfast,64
tail,64
careful,64
important,64
feather,64
speak,63
list,63
fact,63
riddle,63
quick,63
weird,63
opening,63
worried,63
discover,63
kid,62
loud,62
